Name,Stream,Career_Path,Skills,Internship_Field,Courses_Completed,Industry,Salary_INR,Experience_Years,Current_Level,Previous_Role,Location,Certifications,Employment_Type,Remote_or_Onsite
David Baker,Computer Science,Data Analyst,"Python, SQL, Power BI",Data Analyst,Udemy,IT,698930,15,Mid-Level,Junior Associate,Delhi,Cisco,Full-Time,Remote
Kevin Jackson,Computer Science,AI Engineer,"Machine Learning, Python, TensorFlow",AI Engineer,LinkedIn Learning,Agriculture,1702620,4,Senior,Junior Associate,Bangalore,Google Analytics,Contract,Hybrid
Steven Gonzales,Computer Science,AI Engineer,"Machine Learning, Python, TensorFlow",AI Engineer,NPTEL,Automobile,950296,4,Intern,Student,Pune,Cisco,Freelance,Onsite
Ryan Villarreal Jr.,Computer Science,Cyber Security Analyst,"Networking, Ethical Hacking, Linux",Cyber Security Analyst,Udemy,Healthcare,1694986,10,Intern,Student,Chennai,Google Analytics,Internship,Onsite
Andrew Williams,Computer Science,Cyber Security Analyst,"Networking, Ethical Hacking, Linux",Cyber Security Analyst,Coursera,Automobile,2351798,4,Intern,Trainee,Coimbatore,Google Analytics,Freelance,Hybrid
Peter Johnson,Computer Science,Data Analyst,"Python, SQL, Power BI",Data Analyst,NPTEL,Marine,2322813,5,Mid-Level,Trainee,Visakhapatnam,Cisco,Freelance,Hybrid
Michael Cook,Computer Science,Cloud Engineer,"AWS, Docker, Linux",Cloud Engineer,IBM Certification,IT,1643775,0,Intern,Intern,Chennai,AWS,Full-Time,Onsite
Jeremy Rodriguez,Computer Science,Software Developer,"Java, DSA, Git",Software Developer,NPTEL,Agriculture,471718,2,Junior,Junior Associate,Bangalore,Microsoft,Freelance,Hybrid
Joshua Duran,Computer Science,Cyber Security Analyst,"Networking, Ethical Hacking, Linux",Cyber Security Analyst,Udemy,Education,1450680,15,Mid-Level,Student,Pune,Cisco,Internship,Hybrid
Paige Johnson,Computer Science,Cloud Engineer,"AWS, Docker, Linux",Cloud Engineer,Skillshare,Automobile,394091,0,Mid-Level,Trainee,Visakhapatnam,CompTIA Security+,Contract,Remote
Paula Rodriguez,Computer Science,Cyber Security Analyst,"Networking, Ethical Hacking, Linux",Cyber Security Analyst,IBM Certification,Automobile,352116,4,Senior,Intern,Pune,,Contract,Onsite
Tina Kidd,Computer Science,Cyber Security Analyst,"Networking, Ethical Hacking, Linux",Cyber Security Analyst,LinkedIn Learning,Healthcare,1011692,4,Intern,Student,Pune,,Contract,Hybrid
Michael Davis,Computer Science,Cyber Security Analyst,"Networking, Ethical Hacking, Linux",Cyber Security Analyst,Google Certification,Agriculture,439336,4,Mid-Level,Junior Associate,Delhi,Google Analytics,Full-Time,Onsite
Angela Frye,Computer Science,Software Developer,"Java, DSA, Git",Software Developer,NPTEL,Media,449744,12,Junior,Intern,Visakhapatnam,,Freelance,Onsite
Jon Gill,Computer Science,Cloud Engineer,"AWS, Docker, Linux",Cloud Engineer,Coursera,Marine,2059356,3,Mid-Level,Trainee,Chennai,Microsoft,Full-Time,Remote
Kevin Hickman,Computer Science,Software Developer,"Java, DSA, Git",Software Developer,Coursera,Healthcare,1415545,12,Intern,Trainee,Pune,AWS,Internship,Hybrid
Michelle Mendez,Computer Science,Software Developer,"Java, DSA, Git",Software Developer,Coursera,Marine,1760410,15,Mid-Level,Intern,Delhi,Google Analytics,Contract,Hybrid
Natalie White,Computer Science,Cyber Security Analyst,"Networking, Ethical Hacking, Linux",Cyber Security Analyst,Skillshare,Education,2207360,13,Intern,Student,Kochi,AWS,Freelance,Hybrid
Shannon Chase,Computer Science,Software Developer,"Java, DSA, Git",Software Developer,LinkedIn Learning,IT,1358597,10,Senior,Student,Hyderabad,,Freelance,Onsite
Jeffrey Davenport,Computer Science,Cloud Engineer,"AWS, Docker, Linux",Cloud Engineer,Udemy,Automobile,1136580,8,Mid-Level,Intern,Coimbatore,AWS,Internship,Onsite
Julie Silva,Computer Science,Cloud Engineer,"AWS, Docker, Linux",Cloud Engineer,Udemy,IT,2208882,15,Intern,Junior Associate,Visakhapatnam,CompTIA Security+,Contract,Remote
Dana Coleman,Computer Science,Software Developer,"Java, DSA, Git",Software Developer,Coursera,Automobile,1764725,12,Mid-Level,Trainee,Coimbatore,,Full-Time,Remote
Melissa Jenkins,Computer Science,AI Engineer,"Machine Learning, Python, TensorFlow",AI Engineer,Skillshare,IT,811255,6,Mid-Level,Intern,Bangalore,AWS,Internship,Remote
Joshua Mcgee,Computer Science,Software Developer,"Java, DSA, Git",Software Developer,NPTEL,Healthcare,2330016,11,Junior,Junior Associate,Hyderabad,Microsoft,Internship,Hybrid
